NO_COMMANDE,REF_PRODUIT,PRIX_UNITAIRE,QUANTITE,REMISE
10248,11,70.00,12,0
10248,42,49.00,10,0
10248,72,174.00,5,0
10249,14,93.00,9,0
10249,51,212.00,40,0
10250,41,38.50,10,0
10250,51,212.00,35,0.15
10250,65,84.00,15,0.15
10251,22,84.00,6,0.05
10251,57,78.00,15,0.05
10251,65,84.00,20,0
10252,20,324.00,40,0.05
10252,33,10.00,25,0.05
10252,60,136.00,40,0
10253,31,50.00,20,0
10253,39,72.00,42,0
10253,49,80.00,40,0
10254,24,18.00,15,0.15
10254,55,96.00,21,0.15
10254,74,40.00,21,0
10255,2,76.00,20,0
10255,16,69.50,35,0
10255,36,76.00,25,0
10255,59,220.00,30,0
10256,53,131.00,15,0
10256,77,52.00,12,0
10257,27,175.50,25,0
10257,39,72.00,6,0
10257,77,52.00,15,0
10258,2,76.00,50,0.2
10258,5,85.00,65,0.2
10258,32,128.00,6,0.2
10259,21,40.00,10,0
10259,37,104.00,1,0
10260,41,38.50,16,0.25
10260,57,78.00,50,0
10260,62,197.00,15,0.25
10260,70,60.00,21,0.25
10261,21,40.00,20,0
10261,35,72.00,20,0
10262,5,85.00,12,0.2
10262,7,120.00,15,0
10262,56,152.00,2,0
10263,16,69.50,60,0.25
10263,24,18.00,28,0
10263,30,103.50,60,0.25
10263,74,40.00,36,0.25
10264,2,76.00,35,0
10264,41,38.50,25,0.15
10265,17,156.00,30,0
10265,70,60.00,20,0
10266,12,152.00,12,0.05
10267,40,73.50,50,0
10267,59,220.00,70,0.15
10267,76,72.00,15,0.15
10268,29,495.00,10,0
10268,72,139.00,4,0
10269,33,10.00,60,0.05
10269,72,139.00,20,0.05
10270,36,76.00,30,0
10270,43,184.00,25,0
10271,33,10.00,24,0
10272,20,324.00,6,0
10272,31,50.00,40,0
10272,72,139.00,24,0
10273,10,124.00,24,0.05
10273,31,50.00,15,0.05
10273,33,10.00,20,0
10273,40,73.50,60,0.05
10273,76,72.00,33,0.05
10274,71,86.00,20,0
10274,72,139.00,7,0
10275,24,18.00,12,0.05
10275,59,220.00,6,0.05
10276,10,124.00,15,0
10276,13,24.00,10,0
10277,28,182.00,20,0
10277,62,197.00,12,0
10278,44,77.50,16,0
10278,59,220.00,15,0
10278,63,175.50,8,0
10278,73,60.00,25,0
10279,17,156.00,15,0.25
10280,24,18.00,12,0
10280,55,96.00,20,0
10280,75,31.00,30,0
10281,19,36.50,1,0
10281,24,18.00,6,0
10281,35,72.00,4,0
10282,30,103.50,6,0
10282,57,78.00,2,0
10283,15,62.00,20,0
10283,19,36.50,18,0
10283,60,136.00,35,0
10283,72,139.00,3,0
10284,27,175.50,15,0.25
10284,44,77.50,21,0
10284,60,136.00,20,0.25
10284,67,56.00,5,0.25
10285,1,72.00,45,0.2
10285,40,73.50,40,0.2
10285,53,131.00,36,0.2
10286,35,72.00,100,0
10286,62,197.00,40,0
10287,16,69.50,40,0.15
10287,34,56.00,20,0
10287,46,48.00,15,0.15
10288,54,29.50,10,0.1
10288,68,50.00,3,0.1
10289,3,40.00,30,0
10289,64,133.00,9,0
10290,5,85.00,20,0
10290,29,495.00,15,0
10290,49,80.00,15,0
10290,77,52.00,10,0
10291,13,24.00,20,0.1
10291,44,77.50,24,0.1
10291,51,212.00,2,0.1
10292,20,324.00,20,0
10293,18,250.00,12,0
10293,24,18.00,10,0
10293,63,175.50,5,0
10293,75,31.00,6,0
10294,1,72.00,18,0
10294,17,156.00,15,0
10294,43,184.00,15,0
10294,60,136.00,21,0
10294,75,31.00,6,0
10295,56,152.00,4,0
10296,11,84.00,12,0
10296,16,69.50,30,0
10296,69,144.00,15,0
10297,39,72.00,60,0
10297,72,139.00,20,0
10298,2,76.00,40,0
10298,36,76.00,40,0.25
10298,59,220.00,30,0.25
10298,62,197.00,15,0
10299,19,36.50,15,0
10299,70,60.00,20,0
10300,66,68.00,30,0
10300,68,50.00,20,0
10301,40,73.50,10,0
10301,56,152.00,20,0
10302,17,156.00,40,0
10302,28,182.00,28,0
10302,43,184.00,12,0
10303,40,73.50,40,0.1
10303,65,84.00,30,0.1
10303,68,50.00,15,0.1
10304,49,80.00,30,0
10304,59,220.00,10,0
10304,71,86.00,2,0
10305,18,250.00,25,0.1
10305,29,495.00,25,0.1
10305,39,72.00,30,0.1
10306,30,103.50,10,0
10306,53,131.00,10,0
10306,54,29.50,5,0
10307,62,197.00,10,0
10307,68,50.00,3,0
10308,69,144.00,1,0
10308,70,60.00,5,0
10309,4,88.00,20,0
10309,6,100.00,30,0
10309,42,56.00,2,0
10309,43,184.00,20,0
10309,71,86.00,3,0
10310,16,69.50,10,0
10310,62,197.00,5,0
10311,42,56.00,6,0
10311,69,144.00,7,0
10312,28,182.00,4,0
10312,43,184.00,24,0
10312,53,131.00,20,0
10312,75,31.00,10,0
10313,36,76.00,12,0
10314,32,128.00,40,0.1
10314,58,53.00,30,0.1
10314,62,197.00,25,0.1
10315,34,56.00,14,0
10315,70,60.00,30,0
10316,41,38.50,10,0
10316,62,197.00,70,0
10317,1,72.00,20,0
10318,41,38.50,20,0
10318,76,72.00,6,0
10319,17,156.00,8,0
10319,28,182.00,14,0
10319,76,72.00,30,0
10320,71,86.00,30,0
10321,35,72.00,10,0
10322,52,28.00,20,0
10323,15,62.00,5,0
10323,25,56.00,4,0
10323,39,72.00,4,0
10324,16,69.50,21,0.15
10324,35,72.00,70,0.15
10324,46,48.00,30,0
10324,59,220.00,40,0.15
10324,63,175.50,80,0.15
10325,6,100.00,6,0
10325,13,24.00,12,0
10325,14,93.00,9,0
10325,31,50.00,4,0
10325,72,139.00,40,0
10326,4,88.00,24,0
10326,57,78.00,16,0
10326,75,31.00,50,0
10327,2,76.00,25,0.2
10327,11,84.00,50,0.2
10327,30,103.50,35,0.2
10327,58,53.00,30,0.2
10328,59,220.00,9,0
10328,65,84.00,40,0
10328,68,50.00,10,0
10329,19,36.50,10,0.05
10329,30,103.50,8,0.05
10329,38,1054.00,20,0.05
10329,56,152.00,12,0.05
10330,26,124.50,50,0.15
10330,72,139.00,25,0.15
10331,54,29.50,15,0
10332,18,250.00,40,0.2
10332,42,56.00,10,0.2
10332,47,38.00,16,0.2
10333,14,93.00,10,0
10333,21,40.00,10,0.1
10333,71,86.00,40,0.1
10334,52,28.00,8,0
10334,68,50.00,10,0
10335,2,76.00,7,0.2
10335,31,50.00,25,0.2
10335,32,128.00,6,0.2
10335,51,212.00,48,0.2
10336,4,88.00,18,0.1
10337,23,36.00,40,0
10337,26,124.50,24,0
10337,36,76.00,20,0
10337,37,104.00,28,0
10337,72,139.00,25,0
10338,17,156.00,20,0
10338,30,103.50,15,0
10339,4,88.00,10,0
10339,17,156.00,70,0.05
10339,62,197.00,28,0
10340,18,250.00,20,0.05
10340,41,38.50,12,0.05
10340,43,184.00,40,0.05
10341,33,10.00,8,0
10341,59,220.00,9,0.15
10342,2,76.00,24,0.2
10342,31,50.00,56,0.2
10342,36,76.00,40,0.2
10342,55,96.00,40,0.2
10343,64,133.00,50,0
10343,68,50.00,4,0.05
10343,76,72.00,15,0
10344,4,88.00,35,0
10344,8,160.00,70,0.25
10345,8,160.00,70,0
10345,19,36.50,80,0
10345,42,56.00,9,0
10346,17,156.00,36,0.1
10346,56,152.00,20,0
10347,25,56.00,10,0
10347,39,72.00,50,0.15
10347,40,73.50,4,0
10347,75,31.00,6,0.15
10348,1,72.00,15,0.15
10348,23,36.00,25,0
10349,54,29.50,24,0
10350,50,65.00,15,0.1
10350,69,144.00,18,0.1
10351,38,1054.00,20,0.05
10351,41,38.50,13,0
10351,44,77.50,77,0.05
10351,65,84.00,10,0.05
10352,24,18.00,10,0
10352,54,29.50,20,0.15
10353,11,84.00,12,0.2
10353,38,1054.00,50,0.2
10354,1,72.00,12,0
10354,29,495.00,4,0
10355,24,18.00,25,0
10355,57,78.00,25,0
10356,31,50.00,30,0
10356,55,96.00,12,0
10356,69,144.00,20,0
10357,10,124.00,30,0.2
10357,26,124.50,16,0
10357,60,136.00,8,0.2
10358,24,18.00,10,0.05
10358,34,56.00,10,0.05
10358,36,76.00,20,0.05
10359,16,69.50,56,0.05
10359,31,50.00,70,0.05
10359,60,136.00,80,0.05
10360,28,182.00,30,0
10360,29,495.00,35,0
10360,38,1054.00,10,0
10360,49,80.00,35,0
10360,54,29.50,28,0
10361,39,72.00,54,0.1
10361,60,136.00,55,0.1
10362,25,56.00,50,0
10362,51,212.00,20,0
10362,54,29.50,24,0
10363,31,50.00,20,0
10363,75,31.00,12,0
10363,76,72.00,12,0
10364,69,144.00,30,0
10364,71,86.00,5,0
10365,11,84.00,24,0
10366,65,84.00,5,0
10366,77,52.00,5,0
10367,34,56.00,36,0
10367,54,29.50,18,0
10367,65,84.00,15,0
10367,77,52.00,7,0
10368,21,40.00,5,0.1
10368,28,182.00,13,0.1
10368,57,78.00,25,0
10368,64,133.00,35,0.1
10369,29,495.00,20,0
10369,56,152.00,18,0.25
10370,1,72.00,15,0.15
10370,64,133.00,30,0
10370,74,40.00,20,0.15
10371,36,76.00,6,0.2
10372,20,324.00,12,0.25
10372,38,1054.00,40,0.25
10372,60,136.00,70,0.25
10372,72,139.00,42,0.25
10373,58,53.00,80,0.2
10373,71,86.00,50,0.2
10374,31,50.00,30,0
10374,58,53.00,15,0
10375,14,93.00,15,0
10375,54,29.50,10,0
10376,31,50.00,42,0.05
10377,28,182.00,20,0.15
10377,39,72.00,20,0.15
10378,71,86.00,6,0
10379,41,38.50,8,0.1
10379,63,175.50,16,0.1
10379,65,84.00,20,0.1
10380,30,103.50,18,0.1
10380,53,131.00,20,0.1
10380,60,136.00,6,0.1
10380,70,60.00,30,0
10381,74,40.00,14,0
10382,5,85.00,32,0
10382,18,250.00,9,0
10382,29,495.00,14,0
10382,33,10.00,60,0
10382,74,40.00,50,0
10383,13,24.00,20,0
10383,50,65.00,15,0
10383,56,152.00,20,0
10384,20,324.00,28,0
10384,60,136.00,15,0
10385,7,120.00,10,0.2
10385,60,136.00,20,0.2
10385,68,50.00,8,0.2
10386,24,18.00,15,0
10386,34,56.00,10,0
10387,24,18.00,15,0
10387,28,182.00,6,0
10387,59,220.00,12,0
10387,71,86.00,15,0
10388,45,38.00,15,0.2
10388,52,28.00,20,0.2
10388,53,131.00,40,0
10389,10,124.00,16,0
10389,55,96.00,15,0
10389,62,197.00,20,0
10389,70,60.00,30,0
10390,31,50.00,60,0.1
10390,35,72.00,40,0.1
10390,46,48.00,45,0
10390,72,139.00,24,0.1
10391,13,24.00,18,0
10392,69,144.00,50,0
10393,2,76.00,25,0.25
10393,14,93.00,42,0.25
10393,25,56.00,7,0.25
10393,26,124.50,70,0.25
10393,31,50.00,32,0
10394,13,24.00,10,0
10394,62,197.00,10,0
10395,46,48.00,28,0.1
10395,53,131.00,70,0.1
10395,69,144.00,8,0
10396,23,36.00,40,0
10396,71,86.00,60,0
10396,72,139.00,21,0
10397,21,40.00,10,0.15
10397,51,212.00,18,0.15
10398,35,72.00,30,0
10398,55,96.00,120,0.1
10399,68,50.00,60,0
10399,71,86.00,30,0
10399,76,72.00,35,0
10399,77,52.00,14,0
10400,29,495.00,21,0
10400,35,72.00,35,0
10400,49,80.00,30,0
10401,30,103.50,18,0
10401,56,152.00,70,0
10401,65,84.00,20,0
10401,71,86.00,60,0
10402,23,36.00,60,0
10402,63,175.50,65,0
10403,16,69.50,21,0.15
10403,48,51.00,70,0.15
10404,26,124.50,30,0.05
10404,42,56.00,40,0.05
10404,49,80.00,30,0.05
10405,3,40.00,50,0
10406,1,72.00,10,0
10406,21,40.00,30,0.1
10406,28,182.00,42,0.1
10406,36,76.00,5,0.1
10406,40,73.50,2,0.1
10407,11,84.00,30,0
10407,69,144.00,15,0
10407,71,86.00,15,0
10408,37,104.00,10,0
10408,54,29.50,6,0
10408,62,197.00,35,0
10409,14,93.00,12,0
10409,21,40.00,12,0
10410,33,10.00,49,0
10410,59,220.00,16,0
10411,41,38.50,25,0.2
10411,44,77.50,40,0.2
10411,59,220.00,9,0.2
10412,14,93.00,20,0.1
10413,1,72.00,24,0
10413,62,197.00,40,0
10413,76,72.00,14,0
10414,19,36.50,18,0.05
10414,33,10.00,50,0
10415,17,156.00,2,0
10415,33,10.00,20,0
10416,19,36.50,20,0
10416,53,131.00,10,0
10416,57,78.00,20,0
10417,38,1054.00,50,0
10417,46,48.00,2,0.25
10417,68,50.00,36,0.25
10417,77,52.00,35,0
10418,2,76.00,60,0
10418,47,38.00,55,0
10418,61,114.00,16,0
10418,74,40.00,15,0
10419,60,136.00,60,0.05
10419,69,144.00,20,0.05
10420,9,388.00,20,0.1
10420,13,24.00,2,0.1
10420,70,60.00,8,0.1
10420,73,60.00,20,0.1
10421,19,36.50,4,0.15
10421,26,124.50,30,0
10421,53,131.00,15,0.15
10421,77,52.00,10,0.15
10422,26,124.50,2,0
10423,31,50.00,14,0
10423,59,220.00,20,0
10424,35,72.00,60,0.2
10424,38,1054.00,49,0.2
10424,68,50.00,30,0.2
10425,55,96.00,10,0.25
10425,76,72.00,20,0.25
10426,56,152.00,5,0
10426,64,133.00,7,0
10427,14,93.00,35,0
10428,46,48.00,20,0
10429,50,65.00,40,0
10429,63,175.50,35,0.25
10430,17,156.00,45,0.2
10430,21,40.00,50,0
10430,56,152.00,30,0
10430,59,220.00,70,0.2
10431,17,156.00,50,0.25
10431,40,73.50,50,0.25
10431,47,38.00,30,0.25
10432,26,124.50,10,0
10432,54,29.50,40,0
10433,56,152.00,28,0
10434,11,84.00,6,0
10434,76,72.00,18,0.15
10435,2,76.00,10,0
10435,22,84.00,12,0
10435,72,139.00,10,0
10436,46,48.00,5,0
10436,56,152.00,40,0.1
10436,64,133.00,30,0.1
10436,75,31.00,24,0.1
10437,53,131.00,15,0
10438,19,36.50,15,0.2
10438,34,56.00,20,0.2
10438,57,78.00,15,0.2
10439,12,152.00,15,0
10439,16,69.50,16,0
10439,64,133.00,6,0
10439,74,40.00,30,0
10440,2,76.00,45,0.15
10440,16,69.50,49,0.15
10440,29,495.00,24,0.15
10440,61,114.00,90,0.15
10441,27,175.50,50,0
10442,11,84.00,30,0
10442,54,29.50,80,0
10442,66,68.00,60,0
10443,11,84.00,6,0.2
10443,28,182.00,12,0
10444,17,156.00,10,0
10444,26,124.50,15,0
10444,35,72.00,8,0
10444,41,38.50,30,0
10445,39,72.00,6,0
10445,54,29.50,15,0
10446,19,36.50,12,0.1
10446,24,18.00,20,0.1
10446,31,50.00,3,0.1
10446,52,28.00,15,0.1
10447,19,36.50,40,0
10447,65,84.00,35,0
10447,71,86.00,2,0
10448,26,124.50,6,0
10448,40,73.50,20,0
10449,10,124.00,14,0
10449,52,28.00,20,0
10449,62,197.00,35,0
10450,10,124.00,20,0.2
10450,54,29.50,6,0.2
10451,55,96.00,120,0.1
10451,64,133.00,35,0.1
10451,65,84.00,28,0.1
10451,77,52.00,55,0.1
10452,28,182.00,15,0
10452,44,77.50,100,0.05
10453,48,51.00,15,0.1
10453,70,60.00,25,0.1
10454,16,69.50,20,0.2
10454,33,10.00,20,0.2
10454,46,48.00,10,0.2
10455,39,72.00,20,0
10455,53,131.00,50,0
10455,61,114.00,25,0
10455,71,86.00,30,0
10456,21,40.00,40,0.15
10456,49,80.00,21,0.15
10457,59,220.00,36,0
10458,26,124.50,30,0
10458,28,182.00,30,0
10458,43,184.00,20,0
10458,56,152.00,15,0
10458,71,86.00,50,0
10459,7,120.00,16,0.05
10459,46,48.00,20,0.05
10459,72,139.00,40,0
10460,68,50.00,21,0.25
10460,75,31.00,4,0.25
10461,21,40.00,40,0.25
10461,30,103.50,28,0.25
10461,55,96.00,60,0.25
10462,13,24.00,1,0
10462,23,36.00,21,0
10463,19,36.50,21,0
10463,42,56.00,50,0
10464,4,88.00,16,0.2
10464,43,184.00,3,0
10464,56,152.00,30,0.2
10464,60,136.00,20,0
10465,24,18.00,25,0
10465,29,495.00,18,0.1
10465,40,73.50,20,0
10465,45,38.00,30,0.1
10465,50,65.00,25,0
10466,11,84.00,10,0
10466,46,48.00,5,0
10467,24,18.00,28,0
10467,25,56.00,12,0
10468,30,103.50,8,0
10468,43,184.00,15,0
10469,2,76.00,40,0.15
10469,16,69.50,35,0.15
10469,44,77.50,2,0.15
10470,18,250.00,30,0
10470,23,36.00,15,0
10470,64,133.00,8,0
10471,7,120.00,30,0
10471,56,152.00,20,0
10472,24,18.00,80,0.05
10472,51,212.00,18,0
10473,33,10.00,12,0
10473,71,86.00,12,0
10474,14,93.00,12,0
10474,28,182.00,18,0
10474,40,73.50,21,0
10474,75,31.00,10,0
10475,31,50.00,35,0.15
10475,66,68.00,60,0.15
10475,76,72.00,42,0.15
10476,55,96.00,2,0.05
10476,70,60.00,12,0
10477,1,72.00,15,0
10477,21,40.00,21,0.25
10477,39,72.00,20,0.25
10478,10,124.00,20,0.05
10479,38,1054.00,30,0
10479,53,131.00,28,0
10479,59,220.00,60,0
10479,64,133.00,30,0
10480,47,38.00,30,0
10480,59,220.00,12,0
10481,49,80.00,24,0
10481,60,136.00,40,0
10482,40,73.50,10,0
10483,34,56.00,35,0.05
10483,77,52.00,30,0.05
10484,21,40.00,14,0
10484,40,73.50,10,0
10484,51,212.00,3,0
10485,2,76.00,20,0.1
10485,3,40.00,20,0.1
10485,55,96.00,30,0.1
10485,70,60.00,60,0.1
10486,11,84.00,5,0
10486,51,212.00,25,0
10486,74,40.00,16,0
10487,19,36.50,5,0
10487,26,124.50,30,0
10487,54,29.50,24,0.25
10488,59,220.00,30,0
10488,73,60.00,20,0.2
10489,11,84.00,15,0.25
10489,16,69.50,18,0
10490,59,220.00,60,0
10490,68,50.00,30,0
10490,75,31.00,36,0
10491,44,77.50,15,0.15
10491,77,52.00,7,0.15
10492,25,56.00,60,0.05
10492,42,56.00,20,0.05
10493,65,84.00,15,0.1
10493,66,68.00,10,0.1
10493,69,144.00,10,0.1
10494,56,152.00,30,0
10495,23,36.00,10,0
10495,41,38.50,20,0
10495,77,52.00,5,0
10496,31,50.00,20,0.05
10497,56,152.00,14,0
10497,72,139.00,25,0
10497,77,52.00,25,0
10498,24,22.50,14,0
10498,40,92.00,5,0
10498,42,70.00,30,0
10499,28,228.00,20,0
10499,49,100.00,25,0
10500,15,77.50,12,0.05
10500,28,228.00,8,0.05
10501,54,37.25,20,0
10502,45,47.50,21,0
10502,53,164.00,6,0
10502,67,70.00,30,0
10503,14,116.25,70,0
10503,65,105.25,20,0
10504,2,95.00,12,0
10504,21,50.00,12,0
10504,53,164.00,10,0
10504,61,142.50,25,0
10505,62,246.50,3,0
10506,25,70.00,18,0.1
10506,70,75.00,14,0.1
10507,43,230.00,15,0.15
10507,48,63.75,15,0.15
10508,13,30.00,10,0
10508,39,90.00,10,0
10509,28,228.00,3,0
10510,29,618.95,36,0
10510,75,38.75,36,0.1
10511,4,110.00,50,0.15
10511,7,150.00,50,0.15
10511,8,200.00,10,0.15
10512,24,22.50,10,0.15
10512,46,60.00,9,0.15
10512,47,47.50,6,0.15
10512,60,170.00,12,0.15
10513,21,50.00,40,0.2
10513,32,160.00,50,0.2
10513,61,142.50,15,0.2
10514,20,405.00,39,0
10514,28,228.00,35,0
10514,56,190.00,70,0
10514,65,105.25,39,0
10514,75,38.75,50,0
10515,9,485.00,16,0.15
10515,16,87.25,50,0
10515,27,219.50,120,0
10515,33,12.50,16,0.15
10515,60,170.00,84,0.15
10516,18,312.50,25,0.1
10516,41,48.25,80,0.1
10516,42,70.00,20,0
10517,52,35.00,6,0
10517,59,275.00,4,0
10517,70,75.00,6,0
10518,24,22.50,5,0
10518,38,1317.50,15,0
10518,44,97.25,9,0
10519,10,155.00,16,0.05
10519,56,190.00,40,0
10519,60,170.00,10,0.05
