NO_COMMANDE,REF_PRODUIT,PRIX_UNITAIRE,QUANTITE,REMISE
10796,64,166.25,35,0.2
10796,69,180.00,24,0.2
10797,11,105.00,20,0
10798,62,246.50,2,0
10798,72,174.00,10,0
10799,13,30.00,20,0.15
10799,24,22.50,20,0.15
10799,59,275.00,25,0
10800,11,105.00,50,0.1
10800,51,265.00,10,0.1
10800,54,37.25,7,0.1
10801,17,195.00,40,0.25
10801,29,618.95,20,0.25
10802,30,129.45,25,0.25
10802,51,265.00,30,0.25
10802,55,120.00,60,0.25
10802,62,246.50,5,0.25
10803,19,46.00,24,0.05
10803,25,70.00,15,0.05
10803,59,275.00,15,0.05
10804,10,155.00,36,0
10804,28,228.00,24,0
10804,49,100.00,4,0.15
10805,34,70.00,10,0
10805,38,1317.50,10,0
10806,2,95.00,20,0.25
10806,65,105.25,2,0
10806,74,50.00,15,0.25
10807,40,92.00,1,0
10808,56,190.00,20,0.15
10808,76,90.00,50,0.15
10809,52,35.00,20,0
10810,13,30.00,7,0
10810,25,70.00,5,0
10810,70,75.00,5,0
10811,19,46.00,15,0
10811,23,45.00,18,0
10811,40,92.00,30,0
10812,31,62.50,16,0.1
10812,72,174.00,40,0.1
10812,77,65.00,20,0
10813,2,95.00,12,0.2
10813,46,60.00,35,0
10814,41,48.25,20,0
10814,43,230.00,20,0.15
10814,48,63.75,8,0.15
10814,61,142.50,30,0.15
10815,33,12.50,16,0
10816,38,1317.50,30,0.05
10816,62,246.50,20,0.05
10817,26,156.15,40,0.15
10817,38,1317.50,30,0
10817,40,92.00,60,0.15
10817,62,246.50,25,0.15
10818,32,160.00,20,0
10818,41,48.25,20,0
10819,43,230.00,7,0
10819,75,38.75,20,0
10820,56,190.00,30,0
10821,35,90.00,20,0
10821,51,265.00,6,0
10822,62,246.50,3,0
10822,70,75.00,6,0
10823,11,105.00,20,0.1
10823,57,97.50,15,0
10823,59,275.00,40,0.1
10823,77,65.00,15,0.1
10824,41,48.25,12,0
10824,70,75.00,9,0
10825,26,156.15,12,0
10825,53,164.00,20,0
10826,31,62.50,35,0
10826,57,97.50,15,0
10827,10,155.00,15,0
10827,39,90.00,21,0
10828,20,405.00,5,0
10828,38,1317.50,2,0
10829,2,95.00,10,0
10829,8,200.00,20,0
10829,13,30.00,10,0
10829,60,170.00,21,0
10830,6,125.00,6,0
10830,39,90.00,28,0
10830,60,170.00,30,0
10830,68,62.50,24,0
10831,19,46.00,2,0
10831,35,90.00,8,0
10831,38,1317.50,8,0
10831,43,230.00,9,0
10832,13,30.00,3,0.2
10832,25,70.00,10,0.2
10832,44,97.25,16,0.2
10832,64,166.25,3,0
10833,7,150.00,20,0.1
10833,31,62.50,9,0.1
10833,53,164.00,9,0.1
10834,29,618.95,8,0.05
10834,30,129.45,20,0.05
10835,59,275.00,15,0
10835,77,65.00,2,0.2
10836,22,105.00,52,0
10836,35,90.00,6,0
10836,57,97.50,24,0
10836,60,170.00,60,0
10836,64,166.25,30,0
10837,13,30.00,6,0
10837,40,92.00,25,0
10837,47,47.50,40,0.25
10837,76,90.00,21,0.25
10838,1,90.00,4,0.25
10838,18,312.50,25,0.25
10838,36,95.00,50,0.25
10839,58,66.25,30,0.1
10839,72,174.00,15,0.1
10840,25,70.00,6,0.2
10840,39,90.00,10,0.2
10841,10,155.00,16,0
10841,56,190.00,30,0
10841,59,275.00,50,0
10841,77,65.00,15,0
10842,11,105.00,15,0
10842,43,230.00,5,0
10842,68,62.50,20,0
10842,70,75.00,12,0
10843,51,265.00,4,0.25
10844,22,105.00,35,0
10845,23,45.00,70,0.1
10845,35,90.00,25,0.1
10845,42,70.00,42,0.1
10845,58,66.25,60,0.1
10845,64,166.25,48,0
10846,4,110.00,21,0
10846,70,75.00,30,0
10846,74,50.00,20,0
10847,1,90.00,80,0.2
10847,19,46.00,12,0.2
10847,37,130.00,60,0.2
10847,45,47.50,36,0.2
10847,60,170.00,45,0.2
10847,71,107.50,55,0.2
10848,5,106.75,30,0
10848,9,485.00,3,0
10849,3,50.00,49,0
10849,26,156.15,18,0.15
10850,25,70.00,20,0.15
10850,33,12.50,4,0.15
10850,70,75.00,30,0.15
10851,2,95.00,5,0.05
10851,25,70.00,10,0.05
10851,57,97.50,10,0.05
10851,59,275.00,42,0.05
10852,2,95.00,15,0
10852,17,195.00,6,0
10852,62,246.50,50,0
10853,18,312.50,10,0
10854,10,155.00,100,0.15
10854,13,30.00,65,0.15
10855,16,87.25,50,0
10855,31,62.50,14,0
10855,56,190.00,24,0
10855,65,105.25,15,0.15
10856,2,95.00,20,0
10856,42,70.00,20,0
10857,3,50.00,30,0
10857,26,156.15,35,0.25
10857,29,618.95,10,0.25
10858,7,150.00,5,0
10858,27,219.50,10,0
10858,70,75.00,4,0
10859,24,22.50,40,0.25
10859,54,37.25,35,0.25
10859,64,166.25,30,0.25
10860,51,265.00,3,0
10860,76,90.00,20,0
10861,17,195.00,42,0
10861,18,312.50,20,0
10861,21,50.00,40,0
10861,33,12.50,35,0
10861,62,246.50,3,0
10862,11,105.00,25,0
10862,52,35.00,8,0
10863,1,90.00,20,0.15
10863,58,66.25,12,0.15
10864,35,90.00,4,0
10864,67,70.00,15,0
10865,38,1317.50,60,0.05
10865,39,90.00,80,0.05
10866,2,95.00,21,0.25
10866,24,22.50,6,0.25
10866,30,129.45,40,0.25
10867,53,164.00,3,0
10868,26,156.15,20,0
10868,35,90.00,30,0
10868,49,100.00,42,0.1
10869,1,90.00,40,0
10869,11,105.00,10,0
10869,23,45.00,50,0
10869,68,62.50,20,0
10870,35,90.00,3,0
10870,51,265.00,2,0
10871,6,125.00,50,0.05
10871,16,87.25,12,0.05
10871,17,195.00,16,0.05
10872,55,120.00,10,0.05
10872,62,246.50,20,0.05
10872,64,166.25,15,0.05
10872,65,105.25,21,0.05
10873,21,50.00,20,0
10873,28,228.00,3,0
10874,10,155.00,10,0
10875,19,46.00,25,0
10875,47,47.50,21,0.1
10875,49,100.00,15,0
10876,46,60.00,21,0
10876,64,166.25,20,0
10877,16,87.25,30,0.25
10877,18,312.50,25,0
10878,20,405.00,20,0.05
10879,40,92.00,12,0
10879,65,105.25,10,0
10879,76,90.00,10,0
10880,23,45.00,30,0.2
10880,61,142.50,30,0.2
10880,70,75.00,50,0.2
10881,73,75.00,10,0
10882,42,70.00,25,0
10882,49,100.00,20,0.15
10882,54,37.25,32,0.15
10883,24,22.50,8,0
10884,21,50.00,40,0.05
10884,56,190.00,21,0.05
10884,65,105.25,12,0.05
10885,2,95.00,20,0
10885,24,22.50,12,0
10885,70,75.00,30,0
10885,77,65.00,25,0
10886,10,155.00,70,0
10886,31,62.50,35,0
10886,77,65.00,40,0
10887,25,70.00,5,0
10888,2,95.00,20,0
10888,68,62.50,18,0
10889,11,105.00,40,0
10889,38,1317.50,40,0
10890,17,195.00,15,0
10890,34,70.00,10,0
10890,41,48.25,14,0
10891,30,129.45,15,0.05
10892,59,275.00,40,0.05
10893,8,200.00,30,0
10893,24,22.50,10,0
10893,29,618.95,24,0
10893,30,129.45,35,0
10893,36,95.00,20,0
10894,13,30.00,28,0.05
10894,69,180.00,50,0.05
10894,75,38.75,120,0.05
10895,24,22.50,110,0
10895,39,90.00,45,0
10895,40,92.00,91,0
10895,60,170.00,100,0
10896,45,47.50,15,0
10896,56,190.00,16,0
10897,29,618.95,80,0
10897,30,129.45,36,0
10898,13,30.00,5,0
10899,39,90.00,8,0.15
10900,70,75.00,3,0.25
10901,41,48.25,30,0
10901,71,107.50,30,0
10902,55,120.00,30,0.15
10902,62,246.50,6,0.15
10903,13,30.00,40,0
10903,65,105.25,21,0
10903,68,62.50,20,0
10904,58,66.25,15,0
10904,62,246.50,35,0
10905,1,90.00,20,0.05
10906,61,142.50,15,0
10907,75,38.75,14,0
10908,7,150.00,20,0.05
10908,52,35.00,14,0.05
10909,7,150.00,12,0
10909,16,87.25,15,0
10909,41,48.25,5,0
10910,19,46.00,12,0
10910,49,100.00,10,0
10910,61,142.50,5,0
10911,1,90.00,10,0
10911,17,195.00,12,0
10911,67,70.00,15,0
10912,11,105.00,40,0.25
10912,29,618.95,60,0.25
10913,4,110.00,30,0.25
10913,33,12.50,40,0.25
10913,58,66.25,15,0
10914,71,107.50,25,0
10915,17,195.00,10,0
10915,33,12.50,30,0
10915,54,37.25,10,0
10916,16,87.25,6,0
10916,32,160.00,6,0
10916,57,97.50,20,0
10917,30,129.45,1,0
10917,60,170.00,10,0
10918,1,90.00,60,0.25
10918,60,170.00,25,0.25
10919,16,87.25,24,0
10919,25,70.00,24,0
10919,40,92.00,20,0
10920,50,81.25,24,0
10921,35,90.00,10,0
10921,63,219.50,40,0
10922,17,195.00,15,0
10922,24,22.50,35,0
10923,42,70.00,10,0.2
10923,43,230.00,10,0.2
10923,67,70.00,24,0.2
10924,10,155.00,20,0.1
10924,28,228.00,30,0.1
10924,75,38.75,6,0
10925,36,95.00,25,0.15
10925,52,35.00,12,0.15
10926,11,105.00,2,0
10926,13,30.00,10,0
10926,19,46.00,7,0
10926,72,174.00,10,0
10927,20,405.00,5,0
10927,52,35.00,5,0
10927,76,90.00,20,0
10928,47,47.50,5,0
10928,76,90.00,5,0
10929,21,50.00,60,0
10929,75,38.75,49,0
10929,77,65.00,15,0
10930,21,50.00,36,0
10930,27,219.50,25,0
10930,55,120.00,25,0.2
10930,58,66.25,30,0.2
10931,13,30.00,42,0.15
10931,57,97.50,30,0
10932,16,87.25,30,0.1
10932,62,246.50,14,0.1
10932,72,174.00,16,0
10932,75,38.75,20,0.1
10933,53,164.00,2,0
10933,61,142.50,30,0
10934,6,125.00,20,0
10935,1,90.00,21,0
10935,18,312.50,4,0.25
10935,23,45.00,8,0.25
10936,36,95.00,30,0.2
10937,28,228.00,8,0
10937,34,70.00,20,0
10938,13,30.00,20,0.25
10938,43,230.00,24,0.25
10938,60,170.00,49,0.25
10938,71,107.50,35,0.25
10939,2,95.00,10,0.15
10939,67,70.00,40,0.15
10940,7,150.00,8,0
10940,13,30.00,20,0
10941,31,62.50,44,0.25
10941,62,246.50,30,0.25
10941,68,62.50,80,0.25
10941,72,174.00,50,0
10942,49,100.00,28,0
10943,13,30.00,15,0
10943,22,105.00,21,0
10943,46,60.00,15,0
10944,11,105.00,5,0.25
10944,44,97.25,18,0.25
10944,56,190.00,18,0
10945,13,30.00,20,0
10945,31,62.50,10,0
10946,10,155.00,25,0
10946,24,22.50,25,0
10946,77,65.00,40,0
10947,59,275.00,4,0
10948,50,81.25,9,0
10948,51,265.00,40,0
10948,55,120.00,4,0
10949,6,125.00,12,0
10949,10,155.00,30,0
10949,17,195.00,6,0
10949,62,246.50,60,0
10950,4,110.00,5,0
10951,33,12.50,15,0.05
10951,41,48.25,6,0.05
10951,75,38.75,50,0.05
10952,6,125.00,16,0.05
10952,28,228.00,2,0
10953,20,405.00,50,0.05
10953,31,62.50,50,0.05
10954,16,87.25,28,0.15
10954,31,62.50,25,0.15
10954,45,47.50,30,0
10954,60,170.00,24,0.15
10955,75,38.75,12,0.2
10956,21,50.00,12,0
10956,47,47.50,14,0
10956,51,265.00,8,0
10957,30,129.45,30,0
10957,35,90.00,40,0
10957,64,166.25,8,0
10958,5,106.75,20,0
10958,7,150.00,6,0
10958,72,174.00,5,0
10959,75,38.75,20,0.15
10960,24,22.50,10,0.25
10960,41,48.25,24,0
10961,52,35.00,6,0.05
10961,76,90.00,60,0
10962,7,150.00,45,0
10962,13,30.00,77,0
10962,53,164.00,20,0
10962,69,180.00,9,0
10962,76,90.00,44,0
10963,60,170.00,2,0.15
10964,18,312.50,6,0
10964,38,1317.50,5,0
10964,69,180.00,10,0
10965,51,265.00,16,0
10966,37,130.00,8,0
10966,56,190.00,12,0.15
10966,62,246.50,12,0.15
10967,19,46.00,12,0
10967,49,100.00,40,0
10968,12,190.00,30,0
10968,24,22.50,30,0
10968,64,166.25,4,0
10969,46,60.00,9,0
10970,52,35.00,40,0.2
10971,29,618.95,14,0
10972,17,195.00,6,0
10972,33,12.50,7,0
10973,26,156.15,5,0
10973,41,48.25,6,0
10973,75,38.75,10,0
10974,63,219.50,10,0
10975,8,200.00,16,0
10975,75,38.75,10,0
10976,28,228.00,20,0
10977,39,90.00,30,0
10977,47,47.50,30,0
10977,51,265.00,10,0
10977,63,219.50,20,0
10978,8,200.00,20,0.15
10978,21,50.00,40,0.15
10978,40,92.00,10,0
10978,44,97.25,6,0.15
10979,7,150.00,18,0
10979,12,190.00,20,0
10979,24,22.50,80,0
10979,27,219.50,30,0
10979,31,62.50,24,0
10979,63,219.50,35,0
10980,75,38.75,40,0.2
10981,38,1317.50,60,0
10982,7,150.00,20,0
10982,43,230.00,9,0
10983,13,30.00,84,0.15
10983,57,97.50,15,0
10984,16,87.25,55,0
10984,24,22.50,20,0
10984,36,95.00,40,0
10985,16,87.25,36,0.1
10985,18,312.50,8,0.1
10985,32,160.00,35,0.1
10986,11,105.00,30,0
10986,20,405.00,15,0
10986,76,90.00,10,0
10986,77,65.00,15,0
10987,7,150.00,60,0
10987,43,230.00,6,0
10987,72,174.00,20,0
10988,7,150.00,60,0
10988,62,246.50,40,0.1
10989,6,125.00,40,0
10989,11,105.00,15,0
10989,41,48.25,4,0
10990,21,50.00,65,0
10990,34,70.00,60,0.15
10990,55,120.00,65,0.15
10990,61,142.50,66,0.15
10991,2,95.00,50,0.2
10991,70,75.00,20,0.2
10991,76,90.00,90,0.2
10992,72,174.00,2,0
10993,29,618.95,50,0.25
10993,41,48.25,35,0.25
10994,59,275.00,18,0.05
10995,51,265.00,20,0
10995,60,170.00,4,0
10996,42,70.00,40,0
10997,32,160.00,50,0
10997,46,60.00,20,0.25
10997,52,35.00,20,0.25
10998,24,22.50,12,0
10998,61,142.50,7,0
10998,74,50.00,20,0
10998,75,38.75,30,0
10999,41,48.25,20,0.05
10999,51,265.00,15,0.05
10999,77,65.00,21,0.05
11000,4,110.00,25,0.25
11000,24,22.50,30,0.25
11000,77,65.00,30,0
11001,7,150.00,60,0
11001,22,105.00,25,0
11001,46,60.00,25,0
11001,55,120.00,6,0
11002,13,30.00,56,0
11002,35,90.00,15,0.15
11002,42,70.00,24,0.15
11002,55,120.00,40,0
11003,1,90.00,4,0
11003,40,92.00,10,0
11003,52,35.00,10,0
11004,26,156.15,6,0
11004,76,90.00,6,0
11005,1,90.00,2,0
11005,59,275.00,10,0
11006,1,90.00,8,0
11006,29,618.95,2,0.25
11007,8,200.00,30,0
11007,29,618.95,10,0
11007,42,70.00,14,0
11008,28,228.00,70,0.05
11008,34,70.00,90,0.05
11008,71,107.50,21,0
11009,24,22.50,12,0
11009,36,95.00,18,0.25
11009,60,170.00,9,0
11010,7,150.00,20,0
11010,24,22.50,10,0
11011,58,66.25,40,0.05
11011,71,107.50,20,0
11012,19,46.00,50,0.05
11012,60,170.00,36,0.05
11012,71,107.50,60,0.05
11013,23,45.00,10,0
11013,42,70.00,4,0
11013,45,47.50,20,0
11013,68,62.50,2,0
11014,41,48.25,28,0.1
11015,30,129.45,15,0
11015,77,65.00,18,0
11016,31,62.50,15,0
11016,36,95.00,16,0
11017,3,50.00,25,0
11017,59,275.00,110,0
11017,70,75.00,30,0
11018,12,190.00,20,0
11018,18,312.50,10,0
11018,56,190.00,5,0
11019,46,60.00,3,0
11019,49,100.00,2,0
11020,10,155.00,24,0.15
11021,2,95.00,11,0.25
11021,20,405.00,15,0
11021,26,156.15,63,0
11021,51,265.00,44,0.25
11021,72,174.00,35,0
11022,19,46.00,35,0
11022,69,180.00,30,0
11023,7,150.00,4,0
11023,43,230.00,30,0
11024,26,156.15,12,0
11024,33,12.50,30,0
11024,65,105.25,21,0
11024,71,107.50,50,0
11025,1,90.00,10,0.1
11025,13,30.00,20,0.1
11026,18,312.50,8,0
11026,51,265.00,10,0
11027,24,22.50,30,0.25
11027,62,246.50,21,0.25
11028,55,120.00,35,0
11028,59,275.00,24,0
11029,56,190.00,20,0
11029,63,219.50,12,0
11030,2,95.00,100,0.25
11030,5,106.75,70,0
11030,29,618.95,60,0.25
11030,59,275.00,100,0.25
11031,1,90.00,45,0
11031,13,30.00,80,0
11031,24,22.50,21,0
11031,64,166.25,20,0
11031,71,107.50,16,0
11032,36,95.00,35,0
11032,38,1317.50,25,0
11032,59,275.00,30,0
11033,53,164.00,70,0.1
11033,69,180.00,36,0.1
11034,21,50.00,15,0.1
11034,44,97.25,12,0
11034,61,142.50,6,0
11035,1,90.00,10,0
11035,35,90.00,60,0
11035,42,70.00,30,0
11035,54,37.25,10,0
11036,13,30.00,7,0
11036,59,275.00,30,0
11037,70,75.00,4,0
11038,40,92.00,5,0.2
11038,52,35.00,2,0
11038,71,107.50,30,0
11039,28,228.00,20,0
11039,35,90.00,24,0
11039,49,100.00,60,0
11039,57,97.50,28,0
11040,21,50.00,20,0
11041,2,95.00,30,0.2
11041,63,219.50,30,0
11042,44,97.25,15,0
11042,61,142.50,4,0
11043,11,105.00,10,0
11044,62,246.50,12,0
11045,33,12.50,15,0
11045,51,265.00,24,0
11046,12,190.00,20,0.05
11046,32,160.00,15,0.05
11046,35,90.00,18,0.05
11047,1,90.00,25,0.25
11047,5,106.75,30,0.25
11048,68,62.50,42,0
11049,2,95.00,10,0.2
11049,12,190.00,4,0.2
11050,76,90.00,50,0.1
11051,24,22.50,10,0.2
11052,43,230.00,30,0.2
11052,61,142.50,10,0.2
11053,18,312.50,35,0.2
11053,32,160.00,20,0
11053,64,166.25,25,0.2
11054,33,12.50,10,0
11054,67,70.00,20,0
11055,24,22.50,15,0
11055,25,70.00,15,0
11055,51,265.00,20,0
11055,57,97.50,20,0
11056,7,150.00,40,0
11056,55,120.00,35,0
11056,60,170.00,50,0
11057,70,75.00,3,0
11058,21,50.00,3,0
11058,60,170.00,21,0
11058,61,142.50,4,0
11059,13,30.00,30,0
11059,17,195.00,12,0
11059,60,170.00,35,0
11060,60,170.00,4,0
11060,77,65.00,10,0
11061,60,170.00,15,0
11062,53,164.00,10,0.2
11062,70,75.00,12,0.2
11063,34,70.00,30,0
11063,40,92.00,40,0.1
11063,41,48.25,30,0.1
11064,17,195.00,77,0.1
11064,41,48.25,12,0
11064,53,164.00,25,0.1
11064,55,120.00,4,0.1
11064,68,62.50,55,0
11065,30,129.45,4,0.25
11065,54,37.25,20,0.25
11066,16,87.25,3,0
11066,19,46.00,42,0
11066,34,70.00,35,0
11067,41,48.25,9,0
11068,28,228.00,8,0.15
11068,43,230.00,36,0.15
11068,77,65.00,28,0.15
11069,39,90.00,20,0
11070,1,90.00,40,0.15
11070,2,95.00,20,0.15
11070,16,87.25,30,0.15
11070,31,62.50,20,0
11071,7,150.00,15,0.05
11071,13,30.00,10,0.05
11072,2,95.00,8,0
11072,41,48.25,40,0
11072,50,81.25,22,0
11072,64,166.25,130,0
11073,11,105.00,10,0
11073,24,22.50,20,0
11074,16,87.25,14,0.05
11075,2,95.00,10,0.15
11075,46,60.00,30,0.15
11075,76,90.00,2,0.15
11076,6,125.00,20,0.25
11076,14,116.25,20,0.25
11076,19,46.00,10,0.25
11077,2,95.00,24,0.2
11077,3,50.00,4,0
11077,4,110.00,1,0
11077,6,125.00,1,0.02
11077,7,150.00,1,0.05
11077,8,200.00,2,0.1
11077,10,155.00,1,0
11077,12,190.00,2,0.05
11077,13,30.00,4,0
11077,14,116.25,1,0.03
11077,16,87.25,2,0.03
11077,20,405.00,1,0.04
11077,23,45.00,2,0
11077,32,160.00,1,0
11077,39,90.00,2,0.05
11077,41,48.25,3,0
11077,46,60.00,3,0.02
11077,52,35.00,2,0
11077,55,120.00,2,0
11077,60,170.00,2,0.06
11077,64,166.25,2,0.03
11077,66,85.00,1,0
11077,73,75.00,2,0.01
11077,75,38.75,4,0
11077,77,65.00,2,0
